text,translated
I'm out of breath. It's not normal,숨이 차요. 정상이 아니다.
"Yes, I used to go there once a week when I liked baseball","응, 나는 야구를 좋아하면 일주일에 한 번씩 거기에 가곤 했어"
This year's NBA is likely to be a big hit for Curry,올해 NBA는 커리에게 큰 인기를 끌 것 같다
"I know. I want to go camping, too",알아. 나도 캠핑 가고 싶어
"I fell backwards and it hurt a lot, but it was fun.",뒤로 넘어져서 많이 아팠지만 재미있었다.
That's right. You're that guy. LOL,맞아요. 당신이 바로 그 사람이군요. ㅋㅋㅋ
Of course! It was so much fun!,물론이죠! 정말 재미있었어요!
Did you like it naturally because it's your hometown?,고향이라 자연스럽게 마음에 드셨나요?
"There's only one person left, so make sure to come",이제 한 명밖에 안 남았으니까 꼭 오세요
I think they followed the ladies. LOL,여자들을 미행한 것 같아요. ㅋㅋㅋ
You look like you lost some kiki,키키를 잃어버린 것 같아요
I'm a hippie perm!,나는 히피 파마야!
"Really? Actually, I don't expect much",정말요? 사실 저는 큰 기대를 하지 않아요
"Me, too",나도
That's amazing. I want to do it so that I want to make it invisible Ha ha.,대박이다. 나는 그것을 투명하게 만들고 싶어요.
That's the secret? I'm jealous,그게 비밀이야? 부럽다
Isn't that why you lose weight?,그래서 살이 빠지는 거 아니야?
"Really? Haha, I always have some regrets","정말? 하하, 나는 항상 약간의 후회가 있어"
Does that make your skin better?,그러면 피부가 좋아지나요?
"Yes, that's right. I have that thought, but at this age, there's a pretty side","네, 맞아요. 그런 생각도 있지만 이 나이에는 예쁜 면이 있다"
"No, a razor with soap","아니요, 비누가 묻은 면도기"
"But if I lose weight and get double eyelids, I think I'll be a different person Kiki.",하지만 살이 빠지고 쌍꺼풀이 생기면 다른 사람 키키가 될 것 같아요.
"No, it's a design, so it's waxing, but I think it's better to get a laser with money for arm and leg waxing","아니요, 디자인이라 왁싱을 하는데 팔다리 왁싱 비용으로 레이저를 받는 게 좋을 것 같아요"
I should've made the wrinkles tight! The filler!,주름을 꽉 잡았어야 했는데! 필러!
Oh really? Kiki Lee Youngja is liposuction? I think I did something like this. Kiki,"오, 정말이요? 키키 이영자 씨 지방흡입이요? 이런 거 한 것 같아요. 키키."
It's been a while since I got chin botox,오랜만에 턱 보톡스를 맞았어요
My skin is so bad because it's winter these days,요즘 겨울이라 피부가 너무 안 좋아요
Tint?,틴트?
"No, I really","아니요, 저 진짜"
"Kiki is so funny. It's aerobics, but why is it called Zumba dance?",키키 너무 웃겨. 에어로빅인데 왜 줌바댄스라고 하죠?
"Yes, I'm going to make it really well this time","네, 이번에는 정말 잘 만들 거예요"
Alcohol is the best way to end the world in common,술은 세상을 공통적으로 끝내는 가장 좋은 방법이다
I don't know what's what even if I hear it. kk,들어도 뭐가 뭔지 모르겠어요. ㅋㅋ
P.E. is like playing time,체육은 노는 시간과 같다
"That's why I said, ""If you paint my house waterproof, you'll make money."" But I won't tell you","그래서 내가 ""내 집을 방수로 칠하면 돈을 벌 수 있을 거야""라고 말한 거야 하지만 말하지 않을게요"
And you can use that certificate for the rest of your life because you're a technician,그리고 당신은 기술자이기 때문에 그 자격증을 평생 사용할 수 있다
I didn't go to the academy.,나는 학원에 가지 않았다.
It's a project to improve the ability of employees to work,직원들의 업무 능력 향상을 위한 프로젝트입니다
Yes... That's right. It was almost wrong to learn when I was in first grade,"네, 맞아요. 내가 1학년 때 배운 것은 거의 잘못된 것이었다"
"Oh, the final result is coming out this time?","아, 이번에 최종 결과가 나온다고요?"
"I'm watching it on my phone, but it's boring",핸드폰으로 보고 있는데 지루해요
"I see. You said you studied well, right?",그렇구나. 공부 잘했다고 했지?
That's right. I thought about it well. I should try it at home,맞아요. 나는 그것에 대해 잘 생각했어요. 집에서 먹어봐야겠다
"Um... First of all, that person was pretty. LOL",음... 일단 그 사람은 예뻤어요. ㅋㅋㅋ
That's right. Especially the word I don't know!,맞아요. 특히 내가 모르는 단어!
I always start,나는 항상 시작한다
He likes art classes at daycare centers,그는 어린이집 미술 수업을 좋아한다
I didn't know you had that experience.,당신이 그런 경험이 있는지 몰랐어요.
Do you have any memorable subject?,기억에 남는 과목이 있나요?
I won everything,나는 모든 것을 이겼다
"As an event! There will be things to see in life, Kiki","이벤트로! 인생에는 볼 것들이 있을 거야, 키키"
What's the strength of the navy?,해군의 전력은 얼마나 됩니까?
"Ah, Park? I should look for it, too","아, 박씨? 나도 찾아봐야겠다"
What's that? Is it a drama? Or a movie?,그게 뭔데요? 드라마인가요? 아니면 영화?
Have you ever played a song that Kiki's boyfriend sang in the army?,너는 키키의 남자친구가 군대에서 불렀던 노래를 연주해본 적이 있니?
I know. I'm going to collect hundreds,알아요. 수백 개를 모을 거예요
"If it's not then, when will you take care of me?",그때가 아니면 언제 나를 돌봐줄 건가요?
"Ah, I bought chicken and other things","아, 나는 치킨과 다른 것들을 샀다"
Me and 1 year old Kiki,나랑 1살 키키
"Sometimes when I'm annoyed, I want to send you to the army","가끔 내가 짜증날 때, 나는 너를 군대에 보내고 싶다"
I think soldiers who are forced to invest part of their lives to protect their country are amazing,나는 나라를 지키기 위해 그들의 삶의 일부를 투자하도록 강요받는 군인들이 대단하다고 생각한다
Why do you start smoking in the army?,당신은 왜 군대에서 담배를 피우기 시작합니까?
And it's a world where seniors are looking at their successors,그리고 선배들이 후계자를 바라보는 세상이다
I see. I heard you won't join the army even if you're too fat,그렇군요. 너무 뚱뚱해도 군대에 가지 않을 거라고요
I guess it's a collect call,수신자 부담 전화인가 봐요
I know. I don't have time for myself,"알아요, 제 자신을 위한 시간은 없어요"
It's also good to wear at home in the middle of winter.,한겨울에 집에서 입기에도 좋아요.
Why are the insole okay?,왜 깔창이 괜찮은가요?
I'll be your best friend,난 너의 절친한 친구가 될게.
Do you know Princess Maker?,여러분은 프린세스 메이커를 아나요?
"That's also a mobile version, right?",그것도 모바일 버전이죠?
You mean the basketball game?,농구 경기를 말하는 거야?
Kiki. But people get tired,키키. 하지만 사람들은 지친다
"Kiki, especially these days, you can't really need a lot of people","키키, 특히 요즘은 사람이 많이 필요하지 않아"
"Yeah, I did it for 10 hours a day.","네, 하루에 10시간씩 했어요."
What's the reaction speed? What are you talking about?,반응 속도가 어떻게 되죠? 무슨 말씀 하시는 거예요?
I don't even remember,나는 기억도 나지 않는다.
What is your favorite game?,어떤 놀이를 가장 좋아합니까?
Really? Isn't it hard?,그래요? 어렵지 않아요?
I think Koreans are tired because they are too diligent.,나는 한국인들이 너무 부지런해서 피곤하다고 생각한다.
Wouldn't Korean play culture feel rather scary and brutal when you watch squid games?,오징어 경기를 보면 한국 놀이 문화가 오히려 무섭고 잔인하게 느껴지지 않을까요?
What's your favorite game?,당신이 가장 좋아하는 게임은 무엇입니까?
"Kiki, how long do you do it once?","키키, 한 번에 얼마나 해?"
Do you watch e-sports these days?,당신은 요즘 e스포츠를 보나요?
It's really fun.,진짜 재밌어요.
Kkomul is the funniest. Kiki,꼬물이가 제일 재밌어요. 키키.
It was kind of hard for me. The screen was dizzy,저는 좀 힘들었어요. 화면이 어지러웠다
It's really fun. Like chess haha,진짜 재밌어요. 체스처럼 하하
"I played a racing game with you today, it was really fun.","나는 오늘 너와 레이싱 게임을 했는데, 정말 재미있었어."
It was so nice to take a week off from work,일주일 동안 일을 쉬어서 너무 좋았어요
How is your company life?,회사 생활은 어때요?
"Kiki, so I'm trying to seduce my friend to do it with me","키키, 그래서 내 친구를 유혹해서 같이 하려고 해"
That's right. I think everyone earns 200 on average. Haha,맞아요. 나는 모든 사람들이 평균적으로 200을 번다고 생각한다. ㅎㅎ
I don't know. There's nothing like that,몰라. 그런 것은 없다
Are you folding the strawberry box?,당신은 딸기 상자를 접고 있나요?
"When I tried it, there were a lot of errors.","내가 시도했을 때, 많은 오류가 있었다."
I really couldn't go to work this month,나는 이번 달에 정말 일하러 가지 못했다
What office supplies do you have?,사무용품은 뭐가 있어요?
"I wasn't like that either, but it's funny",나도 안 그랬는데 웃겨
Specifications aren't everything,사양이 전부는 아닙니다
Right. I think it's because it's too sudden.,맞아요. 너무 갑작스러워서 그런 것 같아요.
"It's a free line, but I'm doing 2-3 lol",프리라인인데 2-3 하고 있어 ㅋㅋㅋ
"But don't get a job... If I can't do it, LOL","하지만 직장을 구하지는 마세요... 만약 내가 그것을 하지 못한다면, 하하하"
"When I first joined the company,","내가 처음 입사했을 때,"
That's all for the dream of being a planner. Kiki,이상으로 기획자의 꿈을 마치겠습니다. 키키.
Run away a little earlier,조금 더 일찍 도망쳐라
I've worked at a clothing store when I was young,나는 어렸을 때 옷 가게에서 일한 적이 있다
I remember working part-time at a bar or coffee shop.,나는 술집이나 커피숍에서 아르바이트했던 것을 기억한다.
All small and medium-sized enterprises are like that,모든 중소기업들이 그렇다
"It's going to be cold tonight, isn't it?","오늘 밤은 추울 거야, 그렇지 않나요?"
I wear a padded jacket these days and it's warm and nice.,나는 요즘 패딩을 입는데 따뜻하고 좋아.
That's how much it comes out in the winter,겨울에 그만큼 많이 나와요
You can feel the season even in the city,도시에서도 계절을 느낄 수 있다
"No, talk about the weather","아니, 날씨에 대해 말해봐"
"In the winter, we have a snowball fight",겨울에 우리는 눈싸움을 한다
Maybe it's because of the weather I think it's a weather that everyone would be annoyed by,아마 날씨 때문에 다들 짜증을 낼 것 같은 날씨인 것 같아요
"Kiki, why are you so lazy?","키키, 왜 그렇게 게을러?"
You're going to catch a cold.,감기 걸릴 거예요.
I have to go outside,저는 밖에 나가 봐야 해요.
That's why I like autumn the most. LOL,그래서 나는 가을을 가장 좋아한다. ㅋㅋㅋ
But my wife doesn't like hiking,하지만 내 아내는 하이킹을 좋아하지 않는다
It's a nice day to go out with your girlfriend!,여자친구랑 데이트하기 좋은 날씨야!
I think so. Kiki. And Daegu is used to the heat. Kiki. People here are going crazy because it's hot. Kiki,그런 것 같아요. 키키. 그리고 대구는 더위에 익숙하다. 키키. 여기 사람들은 더워서. 키키.
Really? I should wear glasses.,정말? 안경을 써야겠다.
"I already took out my house, but it was hard",나는 이미 집을 꺼냈지만 힘들었다
"If your body fat is low, you get cold easily.","만약 여러분의 체지방이 낮으면, 여러분은 쉽게 추워집니다."
That's really hard,그건 정말 어렵다
"Test takers, cheer up! Kiki!","수험생 여러분, 힘내세요! 키키!"
That's right. Don't sleep in your room because it's hot.,맞아요. 덥다고 방에서 자면 안 돼요.
There's the owner of the next seat,저기 옆자리 주인이 있네요
Kiki. So Maeyeon is more affectionate,키키. 그래서 매연이가 더 다정해요
What's the point of making money? You're making money to live comfortably!,돈을 벌면 뭐해요? 당신은 편안하게 살기 위해 돈을 벌고 있어요!
It's really uncomfortable if I don't have it,없으면 정말 불편해요
I envy you because you live in a big city,나는 네가 대도시에 살아서 부럽다
"Oh really? One house, one charging station?","오, 정말이요? 집 하나, 충전소 하나?"
Kiki is so amazing. Kiki,키키는 정말 대단해요. 키키.
Parking is hard when it's big,주차는 크면 힘들다
It's too expensive to buy a new car now,지금 새 차를 사기에는 너무 비싸다
"I almost climbed up the charts last time, so I have to learn Kiki again Crying",저번에 차트 올라갈뻔해서 키키 다시 배워야해 울면서
I always want to buy a car,나는 항상 차를 사고 싶다
Let's go back to the hospital for treatment,다시 병원에 가서 치료하자
I know. Where do we do the training?,알아요. 어디서 교육을 하죠?
That was the best way to go to school,그것이 학교에 가는 가장 좋은 방법이었다
What? How was it?,뭐라고요? 어땠어?
But the problem is that there's too much time difference,하지만 문제는 시차가 너무 많이 난다는 것이다
Go through the bathroom incident,화장실 사건을 조사하다
I'm saving money too,나도 돈을 모으고 있어
I sit and ride because the station is ahead of them haha,나는 역이 그들보다 앞서기 때문에 앉아서 탄다 하하
But why is it marked?,그런데 왜 표시가 되어 있을까요?
"Oh, I have several small ones","오, 나는 작은 것들을 몇 개 가지고 있다"
Do you usually eat breakfast?,당신은 보통 아침을 먹는 편인가요?
"He'll scratch it with my card, and he'll get the cash","그는 내 카드로 그것을 긁을 것이고, 그리고 그는 현금을 받을 것이다"
"I'm in a cafe called caffeine, but there's a pretty garden cafe!",나는 카페인이라는 카페에 있는데 예쁜 정원 카페가 있어!
I heard that body nine chicken breast is soft and delicious,나는 바디나인 닭가슴살이 부드럽고 맛있다고 들었다
What are you going to do you want me to eat?,당신은 내가 무엇을 먹기를 원합니까?
"If you eat that, you'll get fire in Ddongkko",그거 먹으면 똥꼬에 불 붙는다
Shinjeon Rose is really good,신전장미 정말 맛있다
"In the past, when we split sweet potatoes in Outback... Cheese? Anyway, that's good","예전에 우리가 아웃백에서 고구마를 나눠먹었을 때... 치즈? 어쨌든, 잘됐네요"
"Isn't there a restaurant nearby? ""T""","근처에 식당이 없나요? ""T"""
"Okay, the weather is the best. The weather is the best","좋아요, 날씨가 최고예요. 날씨가 최고다"
"My Gummy was a great taste, too. Kiki",나의 거미도 아주 맛있었다. 키키.
I want to make cookies,나는 쿠키를 만들고 싶다
I like kimchi more than kkakdugi,나는 깍두기보다 김치를 더 좋아한다
"Yes, the jajang sauce is gaining weight","네, 짜장 소스가 살이 찌고 있어요"
The amount was just right and it was good.,양도 적당하고 좋았어요.
"Yes, the cream sauce was good, too","응, 크림소스도 맛있었어"
I only make simple side dishes for children.,나는 아이들을 위한 간단한 반찬만 만든다.
I want to eat McNuggets. I don't have them in my neighborhood,맥너겟 먹고 싶어요. 우리 동네에는 없어요
Why are you tired of red?,너는 왜 빨간색에 싫증이 났니?
Really... I hope you can't feel comfortable even in hell,정말... 지옥에서도 당신이 편안하지 않기를 바랍니다
"Yes, I think MacBook and AirPods 3 came out","네, 맥북과 에어팟3가 나온 것 같아요"
There's a lot of people here and there who have nothing to do,할 일이 없는 사람들이 여기저기에 많다
"Wow, you're such a bad guy!","와, 너 정말 나쁜 놈이구나!"
I saw it on the news a while ago.,얼마 전에 뉴스에서 봤어요.
"I mean, there's a huge forest fire. It's a big problem","제 말은, 큰 산불이 났어요. 그건 정말 큰일이에요."
I've never done it before,나는 그것을 해본 적이 없다
"Yes, yes. I hope overseas children get educated and grow up nicely!",네네. 나는 해외 어린이들이 교육을 받고 잘 자랐으면 좋겠어!
"My friend has to go to France next year, so COVID-19 should calm down by then",내 친구가 내년에 프랑스에 가야 해서 코로나가 그때쯤 진정될 거야
The Taliban is such a global problem right now,탈레반은 지금 세계적인 문제이다
There's something I don't understand in the squid game,오징어 게임에서 이해가 안 가는 게 있어요
I think it's time for Korea to do well when China does well,중국이 잘 할 때 한국이 잘 할 때라고 생각한다
"You're so scared of injections, kiki","넌 주사를 너무 무서워해, 키키"
The winner will have a good experience,우승자는 좋은 경험을 할 것이다
I'm still in the 0th grade,저는 아직 0학년입니다
I wonder if you eat dalgona,나는 네가 가고나를 먹는지 궁금하다
You said you can't come out,못 나온다고 했잖아요
"If it's 9 twins... Wow, your mom is amazing","9쌍둥이라면... 와, 너희 엄마 정말 대단해"
It's called vaccine development in Russia,러시아에서는 백신 개발이라고 불린다
Two protesters were killed,두 명의 시위자가 죽었다
"Kiki. Yes, but I can't watch horror movies","키키, 그래, 하지만 공포 영화는 못 봐"
No... Transmission restrictions.,아니... 전송 제한이야.
Captain America and Captain Marvel are different,캡틴 아메리카와 캡틴 마블은 다르다
"It's an option, but it's not an optionless",선택사항이지만 선택사항이 없는 것은 아닙니다
"Yeah, I agree with that.","네, 저도 동의해요."
I've never been to your mom's place,나는 너의 엄마 집에 가본 적이 없다
How should I say this? It feels like I'm integrating with the shadow,뭐라고 해야 되지? 내가 그림자와 통합되는 느낌이다
"Yes, yes. Make sure to watch it. It's really fun",네네. 꼭 보세요. 정말 재미있어요
I don't really watch movies,저는 영화를 잘 안 봐요
That's really... All the actors are cool... And let's have Nona,그건 정말... 모든 배우들이 멋있어요... 그리고 노나를 먹자
"Kiki, this is my second time. It's my favorite movie","키키, 이번이 두 번째야. 그것은 내가 가장 좋아하는 영화이다"
"Yes, I think Shin Chan's mom is the same. I guess Kiki is out of date","네, 짱구 엄마도 마찬가지인 것 같아요. 키키는 시대에 뒤떨어진 것 같아요"
You have to see this to know,이걸 봐야 알 수 있어요
Kiki. It's been a while since I've seen an animation,키키. 오랜만에 애니메이션을 본다
The movie version of Crayon Shin-chan is on Tooniverse!,짱구형의 영화 버전이 투니버스에 있습니다!
Why did you pretend you didn't see it?,왜 못 본 척 했어요?
"You like the male lead of the dog, right?","너는 개의 남자 주인공을 좋아하지, 그렇지?"
"I like Disney, too",나도 디즈니 좋아해
How can you feel the excitement from Kiki comics? What did you watch?,당신은 키키 만화에서 어떤 흥분을 느낄 수 있나요? 뭐 봤어요?
I'm so sad. I was really looking forward to it.,너무 슬퍼요. 나는 그것을 매우 기대하고 있었다.
I think I haven't been doing that much lately,요즘은 별로 안 하는 것 같아요
"Oh, my. But you chose it","오, 세상에. 하지만 네가 선택했어"
That's right. I feel so bad for that,맞아요. 그것 참 안됐군요
What kind of person is your girlfriend?,당신의 여자친구는 어떤 사람입니까?
Oh... You got married really fast.,오.. 정말 빨리 결혼하셨네요.
I think it's because we're in a hurry to meet each other,우리가 서로를 만나는 게 급해서 그런 것 같아요
He was discharged from the army during MERS and told me not to return for as many vacation days,그는 메르스로 군대를 제대했고 나에게 휴가를 많이 가지 말라고 말했다
"All right, stay home, Kiki. Next time, I'll make time for a trip with my dad","좋아, 집에 있어, 키키. 다음에는 아빠와 함께 여행할 시간을 만들 것이다"
"I live with my grandparents, too",나는 조부모님과 함께 산다
My sister sometimes calls my mom by her name because she's joking,언니는 가끔 농담을 해서 엄마 이름을 불러요
I don't really care because my mom does it for me.,엄마가 대신 해주기 때문에 나는 별로 신경 쓰지 않아요.
"I'm in my own room, too. Dormitory is like a home-cooked meal. I'm not!",저도 제 방에 있어요. 기숙사는 집에서 만든 식사와 같다. 난 아니야!
I was so annoyed that I dug up Kiki. My friends told me you were a newborn,나는 너무 짜증이 나서 키키를 파헤쳤다. 내 친구들은 네가 신생아라고 말했다
So... I think that's why my parents understand me,그래서 부모님이 날 이해해주시는 것 같아
Kiki. My mom always calls me first,키키. 엄마가 항상 먼저 전화해
"In my house, the whole family gets together every time and eats at once",우리 집은 매번 온 가족이 모여서 한 번에 먹는다
He went back to the village and farmed there,그는 마을로 돌아가 그곳에서 농사를 지었다
"Oh, if you live together, you're practically married. That's why you don't get married","오, 같이 살면 결혼한 거나 다름없어요. 그래서 결혼을 안 하는 거야"
"Yes, yes. I guess so",네네. 나도 그렇게 생각해.
"Haha, you followed your mom and dad when you were young","하하, 너는 어렸을 때 엄마 아빠를 따라다녔구나"
"Kiki. Yeah, I think I'm healthier than people","키키 그래, 내가 사람들보다 더 건강한 것 같아"
That's what the baby is...,그게 바로 아기가...
I want to bite you when I see you. LOL,당신을 보면 깨물고 싶어요. ㅋㅋㅋ
Then why do you raise him?,그럼 왜 키우세요?
"That's great. Do you want to raise that dog, too?",대단합니다. 여러분도 그 개를 키우고 싶나요?
WOONG WOO,웅우
Do you want to raise a fish?,물고기를 키우고 싶나요?
Isn't that the kind of lizard from Frozen?,겨울왕국에서 온 도마뱀 아니야?
You have to grind the sawdust often.,톱밥은 자주 갈아줘야 해요.
"Right, right. I don't think all living things should be raised together","그렇죠, 맞습니다. 나는 모든 생명체가 함께 길러져야 한다고 생각하지 않는다"
"Kiki, how did you know? It was your mom's job to clean up","키키, 어떻게 알았어? 청소하는 것은 네 엄마의 일이었어"
"There are a lot of street cats that give birth to their babies, so there are a lot of cats in every alley",길고양이들이 아기를 낳는 경우가 많아 골목마다 고양이가 많다
I should give it a try It's easier than I thought,한 번 해봐야겠다. 생각보다 쉽다
"First of all, I give a bath to dogs who are not feeling well",우선 몸이 안 좋은 개들에게 목욕을 시켜준다
That's cute. Haha,귀엽네요. ㅎㅎ
"Miso writes four pages a day, so I write them quickly.",미소는 하루에 4장씩 쓰기 때문에 빨리 씁니다.
"I was walking my dog today, and I saw a meerkat",나는 오늘 개를 산책시키다가 미어캣을 보았다
I raised it for about 12 years haha,나는 그것을 약 12년 동안 키웠다 하하
I think he'll listen to me well,그는 내 말을 잘 들을 것 같아
It must be harder for you to stay in a studio.,스튜디오에 있는 게 더 힘들겠어요.
Do you think I'm going to screw up?,내가 망칠 것 같아?
"Kiki! That's right! It's very innovative, but I like things like this",키키! 맞아요! 매우 혁신적이지만 나는 이런 것들을 좋아한다
I was surprised when I saw that,나는 그것을 보고 놀랐다
"Anyway, I'm going to watch it again when it comes out!","아무튼, 나오면 다시 볼 거예요!"
I almost followed you to the concert with the light stick.,나는 응원봉을 들고 너를 따라 콘서트에 갈 뻔 했어.
It's the same as my mom,엄마랑 똑같아요
"Rachika is crazy, too. I didn't watch the show this time, but only watched the clip!",라치카도 미쳤어요. 나는 이번에 그 쇼를 보지 않고 그 동영상만 봤어!
"He came out briefly, competed with her, and even the one who died quickly became famous",그는 잠깐 나와서 그녀와 경쟁했고 심지어 죽은 사람도 빨리 유명해졌다
I think he plays with his son really well,나는 그가 그의 아들과 정말 잘 논다고 생각한다
"The number of followers of the actors who came out on ""Squid Game"" has increased",'오징어 게임'에 출연한 배우들의 팔로어 수가 늘었다
Please recommend a lot,많이 추천해 주세요
I'm looking forward to it so much,너무 기대돼요
"Yes, Kiki noona... It was **, right? Kiki.","네, 키키누나... **이였죠? 키키."
Is it the Chinese member?,중국인 멤버인가요?
"You know, fishing also applies to golf",낚시는 골프에도 적용된다
"I didn't watch ""Kiki"" because it was too much from the beginning",'키키'는 처음부터 너무 많아서 못 봤어요
Are you watching me live alone these days?,요즘 나 혼자 사는 거 보고 있어?
My old story and the story that only I didn't know,나의 옛날 이야기와 나만 몰랐던 이야기
"Ah, Kiki's Netflix drama?","아, 키키의 넷플릭스 드라마?"
The true story team!,실화팀!
"It's really annoying, but if you wash it in the washing machine, the clothes get damaged.",정말 귀찮지만 세탁기에 빨면 옷이 상합니다.
"Yeah, and it said mold remover","응, 그리고 곰팡이 제거제라고 쓰여 있었어"
"Oh, it's better to move out!",이사 가는 게 낫겠어요!
It's in Jinju,진주에 있어요
Isn't it too hot?,너무 덥지 않아요?
"Right, I go to bed early because I work these days, but if I were roommates with someone who sleeps late, I would be very sensitive about fatigue.","맞아요, 요즘은 일을 해서 일찍 자는데 늦게 자는 사람과 룸메이트라면 피로에 굉장히 민감할 것 같아요."
That's right. There's something like that in apartments.,맞아요. 아파트에도 그런 게 있어요.
Is it okay to go to a real estate meeting without knowing anything?,아무것도 모른 채 부동산 회의에 가도 괜찮은가요?
"Right, living alone has its pros and cons","맞아, 혼자 사는 건 장단점이 있어"
"I showed you a picture, and it was big","내가 너에게 사진을 보여줬는데, 그것은 컸다"
The price is no joke,가격이 장난이 아니다
You've been living alone for years,당신은 몇 년 동안 혼자 살아왔어요
I'm not good at geography,저는 지리를 잘 못해요
I think I know the answer.,정답을 알 것 같아요.
Do you like apartments? Do you like the house?,당신은 아파트를 좋아하나요? 당신은 그 집을 좋아하는가?
I heard newlyweds have a lot on their minds,신혼부부들이 고민이 많다고 들었어요
I couldn't live my life. LOL,나는 내 삶을 살 수 없었다. ㅋㅋㅋ
I think it'd be nice if it was cheap. What do you think?,가격이 저렴하면 좋을 것 같아요. 당신은 어떻게 생각하나요?
It was okay.,괜찮았어요.
"Right, going to a safe and nice place is the best","맞아, 안전하고 좋은 곳으로 가는 게 최고야"
"Yeah, well, the government's decision is a bullet stand, but I don't like it","그래, 정부의 결정은 총알받이지만 난 그게 맘에 안 들어"
"Oh, the design looks like women will like it. The color is pretty, too","아, 여성분들이 좋아할 것 같은 디자인이네요. 색깔도 예뻐요"
There were 71 cases on Pfizer,화이자에는 71건의 사례가 있었다
I feel like I lost my phone profit,전화 수익을 잃은 것 같아요
Getting a loan like that is a skill these days,그런 대출을 받는 것이 요즘의 기술이다
"The country is helping you, though... It's hard for everyone",나라가 당신을 돕고 있지만... 모두가 힘들어요
"Yeah, I think it'd be good if it was hard to move","네, 움직이기 힘들면 좋을 것 같아요"
I think it's still random,아직 무작위인 것 같아요
The shooter was devastated,총격범은 충격을 받았다
"Especially, FPS games actually have a killer urge","특히, FPS 게임은 사실 살인적인 충동을 가지고 있다"
I couldn't understand,나는 이해할 수 없었다
There are more people around me who bought foldable phones,내 주변에는 폴더블폰을 산 사람들이 더 많다
"Seriously, Kiki, you don't know what's more important. I think it's a country that's blinded by real estate","정말이야, 키키, 넌 뭐가 더 중요한지 몰라. 부동산에 눈이 먼 나라인 것 같아요"
"Yes, I will tell you the blog I read later","네, 제가 읽은 블로그는 나중에 알려드릴게요"
"I'm also a vaccinated person, and I'm afraid there will be any side effects","저도 예방접종을 받은 사람인데, 부작용이 생길까 봐 걱정입니다"
"Wow, but there were some words for that","와, 하지만 그것에 대한 몇 가지 단어들이 있었다"
But it's gonna be a little patchy!,하지만 약간 얼룩질 거야!
"By the way, I sponsored during the earthquake in Japan...","그건 그렇고, 일본 지진 때 내가 후원을 했었는데..."
Does he want to get vaccinated?,그는 예방 접종을 받기를 원합니까?
"Oh, it's finally opening one by one",드디어 하나씩 열리네요
"When I lived with her, I used to cook a lot","내가 그녀와 함께 살 때, 나는 요리를 많이 하곤 했다"
Let's stay healthy and overcome COVID-19,건강하게 잘 지내고 코로나 극복하자
Recommended Kiki instructor is really important,추천 키키 강사는 정말 중요하다
The owner is working. What are you doing?,주인이 일하고 있다. 뭐하고 있어?
That's right. Everyone told me to listen to it before it changes,맞아요. 다들 바뀌기 전에 들으라고 했어요
