idx,Question_no,Set_no,idx1,idx2,idx3,idx4
94,Q95,1,899,191,954,1394
95,Q96,1,1100,924,275,1593
96,Q97,1,49,91,1020,1423
97,Q98,1,815,641,701,1203
98,Q99,1,1059,863,853,1417
99,Q100,1,247,596,1031,1221
100,Q101,1,1148,452,1104,1439
101,Q102,1,605,311,1005,1303
102,Q103,1,698,1055,809,1470
103,Q104,1,614,1185,244,1343
104,Q105,1,256,261,892,1345
105,Q106,1,507,927,22,1411
106,Q107,1,124,1012,537,1205
107,Q108,1,293,572,301,1311
108,Q109,1,1037,437,926,1246
109,Q110,1,582,242,1018,1526
110,Q111,1,105,934,159,1459
111,Q112,1,665,161,651,1381
112,Q113,1,38,948,882,1374
113,Q114,1,1171,413,107,1570
114,Q115,1,731,249,2,1299
115,Q116,1,401,478,914,1337
116,Q117,1,913,808,29,1387
117,Q118,1,721,483,911,1341
118,Q119,1,1181,67,656,1599
119,Q120,1,262,1033,1008,1282
120,Q121,1,1189,552,994,1225
121,Q122,1,700,900,801,1519
122,Q123,1,396,231,144,1277
123,Q124,1,812,165,726,1332
124,Q125,1,673,530,658,1484
125,Q126,1,763,138,993,1278
126,Q127,1,152,1195,70,1348
127,Q128,1,799,877,643,1249
128,Q129,1,158,479,903,1296
129,Q130,1,298,563,39,1258
130,Q131,1,236,689,330,1438
131,Q132,1,561,730,104,1397
132,Q133,1,867,584,409,1238
133,Q134,1,959,85,1045,1326
134,Q135,1,599,269,565,1572
135,Q136,1,279,332,204,1227
136,Q137,1,232,533,123,1429
137,Q138,1,106,746,970,1553
138,Q139,1,344,923,523,1383
139,Q140,1,644,558,1065,1275
140,Q141,1,1084,484,897,1509
141,Q142,1,99,214,1126,1406
142,Q143,1,615,502,669,1405
143,Q144,1,339,1109,1036,1466
144,Q145,1,823,891,616,1480
145,Q146,1,317,94,956,1228
146,Q147,1,977,896,1128,1536
147,Q148,1,580,630,403,1563
148,Q149,1,1024,8,1131,1392
149,Q150,1,55,268,504,1452
150,Q151,1,383,472,1016,1498
151,Q152,1,588,571,225,1301
152,Q153,1,388,932,1117,1555
153,Q154,1,707,25,140,1327
154,Q155,1,1176,794,898,1212
155,Q156,1,95,63,1046,1251
156,Q157,1,156,196,1011,1437
157,Q158,1,309,442,925,1316
158,Q159,1,720,495,652,1334
159,Q160,1,357,171,585,1404
160,Q161,1,417,1093,1029,1472
161,Q162,1,190,765,221,1276
162,Q163,1,97,17,520,1389
163,Q164,1,515,358,168,1512
164,Q165,1,845,338,821,1436
165,Q166,1,296,32,289,1236
166,Q167,1,394,1196,278,1378
167,Q168,1,878,349,610,1395
168,Q169,1,1188,1074,461,1358
169,Q170,1,551,210,920,1458
170,Q171,1,66,18,1095,1479
171,Q172,1,791,1101,1116,1289
172,Q173,1,82,1132,13,1575
173,Q174,1,258,722,718,1529
174,Q175,1,573,672,352,1562
175,Q176,1,226,448,457,1556
176,Q177,1,576,474,888,1339
177,Q178,1,590,378,787,1310
178,Q179,1,777,756,654,1388
179,Q180,1,335,280,1025,1308
180,Q181,1,895,6,90,1336
181,Q182,1,591,52,464,1244
182,Q183,1,570,627,87,1491
183,Q184,1,961,769,716,1384
184,Q185,1,690,1191,972,1361
185,Q186,1,351,797,566,1386
186,Q187,1,197,133,601,1272
187,Q188,1,98,1192,675,1324
188,Q189,1,224,662,432,1209
189,Q190,1,1137,342,65,1591
190,Q191,1,68,1186,866,1579
191,Q192,1,131,534,1149,1304
192,Q193,1,120,50,1051,1285
193,Q194,1,1180,575,1141,1354
194,Q195,1,985,544,235,1500
195,Q196,1,804,446,145,1366
196,Q197,1,733,286,382,1558
197,Q198,1,816,779,964,1547
198,Q199,1,290,602,1156,1513
199,Q200,1,1134,26,1178,1217
200,Q201,1,477,881,340,1229
201,Q202,1,391,526,612,1504
202,Q203,1,773,1152,186,1313
203,Q204,1,990,838,671,1237
204,Q205,1,1019,1173,321,1448
205,Q206,1,958,1199,1049,1338
206,Q207,1,905,310,696,1314
207,Q208,1,1071,1102,1014,1232
208,Q209,1,193,919,931,1412
209,Q210,1,385,740,295,1216
210,Q211,1,655,1179,789,1476
211,Q212,1,843,72,983,1373
212,Q213,1,42,796,1072,1323
213,Q214,1,539,852,142,1524
214,Q215,1,1063,408,265,1589
215,Q216,1,312,1159,215,1347
216,Q217,1,813,376,1187,1465
217,Q218,1,1143,818,103,1245
218,Q219,1,40,45,541,1300
219,Q220,1,510,1146,606,1393
220,Q221,1,194,222,1091,1291
221,Q222,1,157,1015,1123,1317
222,Q223,1,550,151,208,1259
223,Q224,1,569,343,548,1485
224,Q225,1,76,272,522,1424
225,Q226,1,847,108,732,1211
226,Q227,1,1026,711,807,1340
227,Q228,1,416,525,713,1352
228,Q229,1,578,137,622,1376
229,Q230,1,459,795,172,1444
230,Q231,1,922,519,19,1264
231,Q232,1,300,837,742,1594
232,Q233,1,406,790,999,1487
233,Q234,1,465,505,739,1463
234,Q235,1,1010,1099,680,1224
235,Q236,1,608,893,1021,1422
236,Q237,1,579,868,308,1312
237,Q238,1,213,637,691,1377
238,Q239,1,115,469,1013,1390
239,Q240,1,455,177,11,1430
240,Q241,1,771,736,468,1554
241,Q242,1,364,314,33,1220
242,Q243,1,559,1056,1070,1432
243,Q244,1,79,1162,667,1590
244,Q245,1,524,500,1118,1283
245,Q246,1,940,53,1124,1569
246,Q247,1,1039,829,1194,1520
247,Q248,1,130,581,277,1493
248,Q249,1,112,1054,1133,1587
249,Q250,1,702,334,498,1210
250,Q251,1,645,577,1183,1252
251,Q252,1,263,557,37,1248
252,Q253,1,783,859,989,1576
253,Q254,1,986,835,113,1530
254,Q255,1,216,974,699,1499
255,Q256,1,659,229,1001,1445
256,Q257,1,547,377,368,1481
257,Q258,1,84,287,1165,1325
258,Q259,1,444,521,1053,1582
259,Q260,1,346,482,211,1391
260,Q261,1,670,506,532,1240
261,Q262,1,245,945,768,1489
262,Q263,1,367,184,538,1497
263,Q264,1,981,110,1042,1464
264,Q265,1,259,458,1114,1315
265,Q266,1,1022,322,553,1474
266,Q267,1,704,1153,326,1585
267,Q268,1,407,365,101,1288
268,Q269,1,708,490,636,1571
269,Q270,1,384,433,1087,1398
270,Q271,1,276,833,74,1540
271,Q272,1,952,283,203,1206
272,Q273,1,148,568,422,1503
273,Q274,1,856,717,828,1506
274,Q275,1,611,127,832,1413
275,Q276,1,618,871,238,1471
276,Q277,1,445,404,1140,1407
277,Q278,1,1112,1034,681,1353
278,Q279,1,917,749,642,1454
279,Q280,1,387,528,173,1542
280,Q281,1,997,764,862,1427
281,Q282,1,661,1090,951,1596
282,Q283,1,1130,399,1027,1446
283,Q284,1,1167,995,202,1420
284,Q285,1,16,684,1113,1233
285,Q286,1,154,593,1,1431
286,Q287,1,59,516,160,1518
287,Q288,1,207,201,86,1588
288,Q289,1,936,723,240,1514
289,Q290,1,1129,822,938,1545
290,Q291,1,3,83,348,1287
291,Q292,1,9,1172,725,1292
292,Q293,1,626,209,319,1527
293,Q294,1,51,492,426,1548
294,Q295,1,361,918,734,1208
295,Q296,1,424,71,395,1477
296,Q297,1,666,657,423,1573
297,Q298,1,753,267,248,1408
298,Q299,1,48,179,996,1495
299,Q300,1,894,187,966,1359
300,Q301,1,567,155,153,1443
301,Q302,1,677,80,937,1502
302,Q303,1,176,785,560,1546
303,Q304,1,729,233,757,1226
304,Q305,1,132,331,969,1539
305,Q306,1,1041,751,119,1549
306,Q307,1,46,715,205,1371
307,Q308,1,712,1089,381,1318
308,Q309,1,978,775,266,1261
309,Q310,1,935,246,865,1242
310,Q311,1,370,373,121,1492
311,Q312,1,251,192,88,1578
312,Q313,1,139,735,554,1402
313,Q314,1,1007,429,428,1351
314,Q315,1,100,727,1035,1428
315,Q316,1,874,412,212,1522
316,Q317,1,1004,299,792,1537
317,Q318,1,291,1068,761,1577
318,Q319,1,1006,393,75,1372
319,Q320,1,1136,354,762,1307
320,Q321,1,447,77,587,1281
321,Q322,1,481,169,54,1379
322,Q323,1,987,889,1096,1560
323,Q324,1,425,375,635,1362
324,Q325,1,93,800,747,1380
325,Q326,1,620,223,1079,1305
326,Q327,1,294,546,402,1349
327,Q328,1,1184,840,686,1534
328,Q329,1,724,480,631,1369
329,Q330,1,883,508,772,1426
330,Q331,1,497,336,870,1421
331,Q332,1,125,633,1163,1364
332,Q333,1,195,62,487,1414
333,Q334,1,748,825,1142,1533
334,Q335,1,503,117,861,1583
335,Q336,1,489,200,386,1460
336,Q337,1,175,910,781,1538
337,Q338,1,440,824,595,1367
338,Q339,1,372,950,443,1396
339,Q340,1,890,1161,149,1267
340,Q341,1,398,1075,613,1478
341,Q342,1,527,1062,1060,1200
342,Q343,1,916,64,327,1473
343,Q344,1,1081,844,174,1574
344,Q345,1,1047,531,540,1234
345,Q346,1,1135,992,703,1467
346,Q347,1,1044,494,1121,1297
347,Q348,1,998,337,218,1425
348,Q349,1,1066,96,975,1250
349,Q350,1,449,451,496,1263
350,Q351,1,639,1094,875,1357
351,Q352,1,61,683,770,1399
352,Q353,1,628,1088,594,1508
353,Q354,1,323,694,198,1400
354,Q355,1,831,220,420,1451
355,Q356,1,693,1197,356,1584
356,Q357,1,392,1175,1139,1434
357,Q358,1,759,166,705,1449
358,Q359,1,901,1098,1150,1490
359,Q360,1,1198,607,460,1328
360,Q361,1,1182,817,345,1266
361,Q362,1,237,292,529,1231
362,Q363,1,185,1076,15,1564
363,Q364,1,410,315,1057,1243
364,Q365,1,297,228,227,1401
365,Q366,1,886,183,960,1501
366,Q367,1,1145,632,1080,1516
367,Q368,1,491,427,545,1565
368,Q369,1,1077,1144,199,1510
369,Q370,1,542,284,776,1544
370,Q371,1,78,435,1083,1382
371,Q372,1,535,846,438,1201
372,Q373,1,653,369,802,1410
373,Q374,1,509,415,69,1568
374,Q375,1,230,1017,758,1335
375,Q376,1,453,1166,58,1320
376,Q377,1,439,1030,250,1298
377,Q378,1,12,597,271,1441
378,Q379,1,518,28,273,1462
379,Q380,1,60,328,842,1515
380,Q381,1,706,418,600,1265
381,Q382,1,621,798,647,1469
382,Q383,1,397,536,774,1257
383,Q384,1,805,848,991,1531
384,Q385,1,1028,255,14,1319
385,Q386,1,976,1097,285,1222
386,Q387,1,73,663,390,1207
387,Q388,1,803,513,941,1440
388,Q389,1,1111,363,102,1202
389,Q390,1,473,1085,1151,1262
390,Q391,1,41,512,1127,1241
391,Q392,1,5,1174,942,1279
392,Q393,1,646,304,574,1468
393,Q394,1,475,434,366,1435
394,Q395,1,1040,234,909,1355
395,Q396,1,1067,257,745,1247
396,Q397,1,1064,962,143,1418
397,Q398,1,128,884,303,1592
398,Q399,1,850,743,879,1551
399,Q400,1,89,1032,1177,1321
400,Q1,2,165,690,834,1210
401,Q2,2,289,1168,590,1266
402,Q3,2,869,517,1101,1561
403,Q4,2,351,129,903,1469
404,Q5,2,161,1137,615,1503
405,Q6,2,50,719,485,1578
406,Q7,2,122,589,812,1477
407,Q8,2,614,921,897,1278
408,Q9,2,804,2,925,1359
409,Q10,2,1169,570,87,1538
410,Q11,2,562,1193,414,1565
411,Q12,2,714,302,1104,1381
412,Q13,2,333,341,697,1507
413,Q14,2,741,44,811,1263
414,Q15,2,279,290,196,1427
415,Q16,2,872,339,1147,1527
416,Q17,2,140,668,864,1493
417,Q18,2,1002,573,226,1259
418,Q19,2,1126,627,726,1498
419,Q20,2,464,1155,1107,1313
420,Q21,2,814,585,899,1423
421,Q22,2,955,907,471,1468
422,Q23,2,1092,317,258,1464
423,Q24,2,159,887,596,1539
424,Q25,2,403,944,81,1597
425,Q26,2,687,913,658,1547
426,Q27,2,673,282,1160,1291
427,Q28,2,685,470,1025,1312
428,Q29,2,692,932,235,1294
429,Q30,2,780,1157,808,1302
430,Q31,2,900,616,436,1585
431,Q32,2,383,1158,124,1532
432,Q33,2,163,738,1128,1553
433,Q34,2,1154,730,10,1516
434,Q35,2,641,556,136,1379
435,Q36,2,1108,584,352,1383
436,Q37,2,855,474,810,1369
437,Q38,2,355,857,826,1275
438,Q39,2,973,877,1046,1568
439,Q40,2,126,394,1132,1466
440,Q41,2,926,939,601,1288
441,Q42,2,943,892,325,1583
442,Q43,2,985,575,701,1430
443,Q44,2,118,389,204,1414
444,Q45,2,189,99,591,1443
445,Q46,2,784,648,47,1596
446,Q47,2,755,1195,188,1399
447,Q48,2,610,335,278,1285
448,Q49,2,602,91,588,1262
449,Q50,2,968,463,167,1428
450,Q51,2,107,244,359,1211
451,Q52,2,171,168,592,1587
452,Q53,2,544,342,782,1449
453,Q54,2,972,895,957,1311
454,Q55,2,281,217,307,1589
455,Q56,2,411,94,908,1255
456,Q57,2,236,214,902,1582
457,Q58,2,582,106,965,1592
458,Q59,2,572,293,104,1564
459,Q60,2,432,374,583,1401
460,Q61,2,49,31,274,1358
461,Q62,2,854,915,787,1394
462,Q63,2,29,260,253,1465
463,Q64,2,466,561,924,1483
464,Q65,2,841,788,820,1518
465,Q66,2,350,82,988,1256
466,Q67,2,1120,928,927,1525
467,Q68,2,664,665,1016,1412
468,Q69,2,934,65,170,1207
469,Q70,2,662,441,24,1357
470,Q71,2,760,555,959,1576
471,Q72,2,737,878,313,1345
472,Q73,2,22,1048,431,1296
473,Q74,2,1117,1164,565,1560
474,Q75,2,156,452,543,1512
475,Q76,2,446,707,396,1519
476,Q77,2,353,456,109,1595
477,Q78,2,190,1073,270,1252
478,Q79,2,754,845,1033,1584
479,Q80,2,695,830,164,1433
480,Q81,2,478,1011,430,1481
481,Q82,2,793,904,1109,1227
482,Q83,2,1018,231,1059,1416
483,Q84,2,18,880,114,1331
484,Q85,2,85,823,360,1517
485,Q86,2,442,858,232,1405
486,Q87,2,70,564,409,1215
487,Q88,2,286,26,56,1376
488,Q89,2,191,882,23,1574
489,Q90,2,17,39,728,1238
490,Q91,2,36,1003,1176,1342
491,Q92,2,239,499,1110,1456
492,Q93,2,305,654,1051,1473
493,Q94,2,388,379,979,1474
494,Q95,2,405,797,269,1226
495,Q96,2,885,318,769,1308
496,Q97,2,598,806,1074,1327
497,Q98,2,38,644,650,1395
498,Q99,2,801,722,933,1480
499,Q100,2,523,675,4,1523
500,Q101,2,511,604,288,1391
501,Q102,2,930,43,767,1220
502,Q103,2,298,27,264,1236
503,Q104,2,630,716,329,1347
504,Q105,2,437,158,111,1437
505,Q106,2,1082,0,1050,1244
506,Q107,2,625,849,134,1447
507,Q108,2,382,656,953,1537
508,Q109,2,791,967,306,1397
509,Q110,2,750,980,371,1224
510,Q111,2,827,1180,660,1421
511,Q112,2,629,1125,1093,1440
512,Q113,2,261,718,1138,1389
513,Q114,2,378,709,1036,1504
514,Q115,2,580,8,488,1543
515,Q116,2,1106,162,672,1239
516,Q117,2,563,520,1149,1335
517,Q118,2,617,766,552,1325
518,Q119,2,21,501,1061,1515
519,Q120,2,133,1008,66,1375
520,Q121,2,316,57,483,1219
521,Q122,2,92,413,178,1505
522,Q123,2,241,674,698,1299
523,Q124,2,105,603,457,1548
524,Q125,2,1116,1134,1055,1321
525,Q126,2,599,689,640,1372
526,Q127,2,146,1043,678,1377
527,Q128,2,605,147,586,1306
528,Q129,2,752,649,495,1280
529,Q130,2,896,224,566,1209
530,Q131,2,1103,923,1078,1413
531,Q132,2,920,357,1156,1545
532,Q133,2,268,836,746,1415
533,Q134,2,1005,332,320,1521
534,Q135,2,576,448,252,1486
535,Q136,2,623,210,419,1392
536,Q137,2,450,1115,964,1404
537,Q138,2,454,182,144,1497
538,Q139,2,1171,330,609,1217
539,Q140,2,949,1069,911,1509
540,Q141,2,888,197,120,1457
541,Q142,2,765,301,876,1272
542,Q143,2,98,417,1105,1338
543,Q144,2,507,1052,476,1281
544,Q145,2,948,180,462,1438
545,Q146,2,32,254,1000,1591
546,Q147,2,700,380,1029,1360
547,Q148,2,963,6,676,1314
548,Q149,2,262,68,1024,1462
549,Q150,2,1086,799,1037,1499
550,Q151,2,493,977,421,1365
551,Q152,2,20,1189,181,1586
552,Q153,2,643,52,1100,1223
553,Q154,2,150,1181,486,1387
554,Q155,2,7,679,851,1332
555,Q156,2,67,651,669,1487
556,Q157,2,35,777,1196,1556
557,Q158,2,867,280,347,1511
558,Q159,2,982,131,710,1258
559,Q160,2,1065,994,1190,1495
560,Q161,2,1131,866,219,1229
561,Q162,2,819,1058,243,1270
562,Q163,2,95,821,756,1546
563,Q164,2,720,946,1170,1240
564,Q165,2,652,1119,152,1328
565,Q166,2,13,947,1038,1297
566,Q167,2,763,537,688,1455
567,Q168,2,225,906,309,1536
568,Q169,2,502,55,479,1235
569,Q170,2,1122,275,362,1352
570,Q171,2,549,1012,1141,1460
571,Q172,2,779,1095,247,1422
572,Q173,2,249,1023,256,1549
573,Q174,2,221,731,571,1292
574,Q175,2,619,786,34,1482
575,Q176,2,534,1188,551,1354
576,Q177,2,971,530,839,1309
577,Q178,2,514,63,206,1484
578,Q179,2,638,484,401,1467
579,Q180,2,970,891,400,1557
580,Q181,2,816,296,1009,1593
581,Q182,2,860,344,135,1282
582,Q183,2,467,993,914,1514
583,Q184,2,311,558,472,1218
584,Q185,2,634,1185,794,1221
585,Q186,2,515,873,349,1276
586,Q187,2,809,1020,358,1249
587,Q188,2,853,141,145,1444
588,Q189,2,898,778,123,1380
589,Q190,2,1084,1178,138,1541
590,Q191,2,744,815,504,1214
591,Q192,2,1031,30,954,1594
592,Q193,2,956,1186,733,1330
593,Q194,2,624,90,721,1242
594,Q195,2,929,116,1148,1245
595,Q196,2,863,338,97,1470
596,Q197,2,1192,533,461,1351
597,Q198,2,961,25,682,1319
598,Q199,2,1191,984,324,1402
599,Q200,2,912,1045,242,1303
600,Q201,2,1140,770,433,1590
601,Q202,2,559,916,255,1254
602,Q203,2,546,443,608,1508
603,Q204,2,399,1015,453,1337
604,Q205,2,680,743,1,1451
605,Q206,2,230,1041,117,1446
606,Q207,2,418,213,492,1542
607,Q208,2,209,234,992,1476
608,Q209,2,263,149,541,1435
609,Q210,2,536,1044,639,1295
610,Q211,2,393,734,539,1407
611,Q212,2,440,356,368,1510
612,Q213,2,494,397,1127,1417
613,Q214,2,757,308,506,1283
614,Q215,2,554,207,212,1569
615,Q216,2,761,527,966,1355
616,Q217,2,1019,606,292,1247
617,Q218,2,40,172,88,1432
618,Q219,2,199,187,790,1442
619,Q220,2,222,1135,119,1205
620,Q221,2,33,999,229,1362
621,Q222,2,1179,547,404,1452
622,Q223,2,532,408,340,1406
623,Q224,2,574,1057,774,1441
624,Q225,2,1150,1174,736,1241
625,Q226,2,160,705,1032,1529
626,Q227,2,884,251,1194,1265
627,Q228,2,937,879,1197,1403
628,Q229,2,489,785,567,1253
629,Q230,2,367,702,1167,1271
630,Q231,2,1121,153,53,1472
631,Q232,2,749,995,480,1475
632,Q233,2,798,64,445,1558
633,Q234,2,331,560,406,1225
634,Q235,2,593,455,800,1453
635,Q236,2,518,322,310,1570
636,Q237,2,1089,706,723,1439
637,Q238,2,1083,1114,223,1577
638,Q239,2,715,1081,1099,1501
639,Q240,2,412,257,186,1454
640,Q241,2,447,1090,3,1301
641,Q242,2,438,889,395,1336
642,Q243,2,1001,686,670,1305
643,Q244,2,671,345,829,1535
644,Q245,2,945,581,429,1551
645,Q246,2,1130,72,976,1400
646,Q247,2,1077,526,390,1273
647,Q248,2,835,922,528,1250
648,Q249,2,783,803,813,1396
649,Q250,2,1133,363,248,1450
650,Q251,2,1072,768,78,1598
651,Q252,2,838,142,894,1343
652,Q253,2,481,691,202,1385
653,Q254,2,37,653,266,1329
654,Q255,2,287,747,84,1340
655,Q256,2,542,365,703,1277
656,Q257,2,868,724,1063,1478
657,Q258,2,987,203,503,1581
658,Q259,2,941,753,771,1588
659,Q260,2,512,179,578,1528
660,Q261,2,837,1142,284,1243
661,Q262,2,276,861,303,1492
662,Q263,2,893,1098,449,1374
663,Q264,2,1175,297,1042,1418
664,Q265,2,881,890,773,1353
665,Q266,2,60,115,1102,1513
666,Q267,2,684,1094,372,1298
667,Q268,2,859,51,1165,1261
668,Q269,2,850,314,817,1268
669,Q270,2,77,818,246,1326
670,Q271,2,420,1060,713,1290
671,Q272,2,871,426,1087,1286
672,Q273,2,154,505,1006,1393
673,Q274,2,300,764,304,1284
674,Q275,2,439,568,1112,1386
675,Q276,2,315,519,1040,1323
676,Q277,2,416,1162,62,1506
677,Q278,2,996,321,802,1228
678,Q279,2,852,198,208,1448
679,Q280,2,183,48,550,1388
680,Q281,2,831,434,469,1307
681,Q282,2,386,366,661,1348
682,Q283,2,981,1004,824,1246
683,Q284,2,525,1182,108,1384
684,Q285,2,42,482,121,1334
685,Q286,2,143,500,195,1212
686,Q287,2,102,1166,343,1599
687,Q288,2,422,291,1163,1572
688,Q289,2,487,962,1064,1366
689,Q290,2,663,1049,460,1485
690,Q291,2,1035,233,1047,1554
691,Q292,2,795,628,28,1203
692,Q293,2,93,960,1030,1349
693,Q294,2,1161,132,444,1339
694,Q295,2,524,283,211,1201
695,Q296,2,1010,227,600,1346
696,Q297,2,974,840,326,1555
697,Q298,2,521,789,201,1202
698,Q299,2,825,381,622,1531
699,Q300,2,633,540,1079,1489
700,Q301,2,833,327,696,1230
701,Q302,2,1013,215,336,1491
702,Q303,2,1111,1017,76,1269
703,Q304,2,497,742,364,1398
704,Q305,2,415,473,73,1411
705,Q306,2,130,513,509,1436
706,Q307,2,376,862,931,1563
707,Q308,2,402,579,112,1293
708,Q309,2,15,428,157,1320
709,Q310,2,1066,127,259,1274
710,Q311,2,647,1007,938,1363
711,Q312,2,11,645,1022,1490
712,Q313,2,1070,775,621,1324
713,Q314,2,535,83,642,1361
714,Q315,2,531,166,273,1316
715,Q316,2,611,96,1034,1573
716,Q317,2,998,694,216,1496
717,Q318,2,496,735,936,1378
718,Q319,2,725,739,491,1544
719,Q320,2,69,666,883,1580
720,Q321,2,612,9,632,1300
721,Q322,2,267,1139,727,1364
722,Q323,2,100,377,1071,1500
723,Q324,2,997,1113,387,1522
724,Q325,2,772,312,1198,1526
725,Q326,2,748,745,424,1459
726,Q327,2,1187,919,19,1204
727,Q328,2,856,751,299,1267
728,Q329,2,594,498,1096,1317
729,Q330,2,174,113,1080,1341
730,Q331,2,655,842,328,1213
731,Q332,2,1199,983,635,1382
732,Q333,2,375,548,557,1234
733,Q334,2,1151,177,828,1566
734,Q335,2,1152,337,1173,1222
735,Q336,2,425,101,173,1479
736,Q337,2,1146,712,285,1287
737,Q338,2,86,631,384,1367
738,Q339,2,618,151,1184,1559
739,Q340,2,844,781,508,1463
740,Q341,2,1028,699,978,1419
741,Q342,2,805,205,740,1264
742,Q343,2,185,587,969,1502
743,Q344,2,392,458,545,1260
744,Q345,2,369,175,510,1333
745,Q346,2,184,732,410,1471
746,Q347,2,468,385,193,1233
747,Q348,2,71,613,990,1368
748,Q349,2,759,346,1097,1424
749,Q350,2,477,776,265,1445
750,Q351,2,637,620,870,1356
751,Q352,2,917,989,646,1231
752,Q353,2,1159,1153,1026,1390
753,Q354,2,228,683,522,1562
754,Q355,2,1014,1183,553,1533
755,Q356,2,1076,693,677,1461
756,Q357,2,792,951,465,1520
757,Q358,2,125,240,886,1318
758,Q359,2,1118,1075,667,1426
759,Q360,2,435,975,75,1575
760,Q361,2,843,139,61,1530
761,Q362,2,79,1054,1177,1534
762,Q363,2,423,128,1144,1550
763,Q364,2,148,762,717,1431
764,Q365,2,918,110,45,1200
765,Q366,2,348,155,176,1304
766,Q367,2,681,192,475,1579
767,Q368,2,516,538,427,1208
768,Q369,2,250,277,1062,1494
769,Q370,2,569,1088,659,1408
770,Q371,2,294,271,319,1237
771,Q372,2,194,334,391,1409
772,Q373,2,822,875,595,1488
773,Q374,2,490,1091,137,1370
774,Q375,2,796,577,942,1434
775,Q376,2,354,407,1129,1571
776,Q377,2,245,218,295,1257
777,Q378,2,1136,74,5,1289
778,Q379,2,950,373,958,1350
779,Q380,2,237,169,59,1232
780,Q381,2,711,398,607,1251
781,Q382,2,103,1053,54,1458
782,Q383,2,1027,940,991,1524
783,Q384,2,370,272,865,1322
784,Q385,2,323,1143,220,1373
785,Q386,2,238,846,636,1429
786,Q387,2,952,657,1085,1410
787,Q388,2,1172,832,361,1567
788,Q389,2,729,905,89,1540
789,Q390,2,874,901,46,1216
790,Q391,2,597,451,708,1248
791,Q392,2,1056,1068,1124,1310
792,Q393,2,758,1067,704,1371
793,Q394,2,847,200,14,1420
794,Q395,2,848,80,807,1552
795,Q396,2,58,16,626,1344
